Sorry to Bother You,A,93,6.9,true
Booksmart,A,96,7.2,true
Step Brothers,B,55,6.9,true
The Little Things,D,48,6.3,false
Promising Young Woman,A,91,7.5,true
Wolfwalkers,A,99,8.1,true
Jiu Jitsu,F,30,2.9,false
